Date,Ticker,9:30 Price,10:30 Price,High Price,Low Price,Gap Percentage,previous_day_close,previous_day_open,previous_day_high,previous_day_low,previous_day_volume,two_days_ago_close,two_days_ago_open,two_days_ago_high,two_days_ago_low,two_days_ago_volume
2023-03-01,AULT,915.001,906.001,943.501,900.751,0.32894736842105066,0.1216,0.115,0.1225,0.1132,4680903.0,0.115,0.1198,0.1198,0.1125,3939715.0
2023-03-02,AULT,864.751,870.751,872.251,847.501,-1.452991452991459,0.117,0.122,0.1258,0.113,4158055.0,0.1216,0.115,0.1225,0.1132,4680903.0
2023-03-03,AULT,855.751,885.001,891.001,855.751,-0.26223776223776973,0.1144,0.1153,0.1188,0.113,4249027.0,0.117,0.122,0.1258,0.113,4158055.0
2023-03-06,AULT,922.501,908.251,936.001,876.001,-1.4423076923076892,0.1248,0.1141,0.1267,0.1141,4775045.0,0.1144,0.1153,0.1188,0.113,4249027.0
2023-03-07,AULT,885.001,879.751,929.251,874.501,-1.2552301255230138,0.1195,0.123,0.1248,0.1152,5404138.0,0.1248,0.1141,0.1267,0.1141,4775045.0
2023-03-08,AULT,873.751,823.501,876.001,795.751,1.6579406631762765,0.1146,0.118,0.1239,0.114,3460888.0,0.1195,0.123,0.1248,0.1152,5404138.0
2023-03-09,AULT,787.501,753.001,787.501,747.001,5.421686746987954,0.0996,0.1165,0.1168,0.0965,9552896.0,0.1146,0.118,0.1239,0.114,3460888.0
2023-03-10,AULT,750.001,705.001,750.001,618.751,0.6036217303822972,0.0994,0.105,0.105,0.0975,5175530.0,0.0996,0.1165,0.1168,0.0965,9552896.0
2023-03-13,AULT,675.001,714.751,718.501,657.751,2.622576966932721,0.0877,0.1,0.1,0.0825,9078817.0,0.0994,0.105,0.105,0.0975,5175530.0
2023-03-14,AULT,825.001,789.751,836.251,750.001,0.45662100456621046,0.1095,0.09,0.1113,0.0877,15037164.0,0.0877,0.1,0.1,0.0825,9078817.0
2023-03-15,AULT,750.001,741.751,750.001,734.251,0.0,0.1,0.11,0.1115,0.0999,6531350.0,0.1095,0.09,0.1113,0.0877,15037164.0
2023-03-16,AULT,712.501,666.751,727.501,618.751,5.438401775804663,0.0901,0.1,0.1,0.0901,4218012.0,0.1,0.11,0.1115,0.0999,6531350.0
2023-03-17,AULT,705.751,676.501,705.751,660.001,4.2081949058693215,0.0903,0.095,0.097,0.0825,9775286.0,0.0901,0.1,0.1,0.0901,4218012.0
2023-03-20,AULT,705.751,675.001,705.751,652.501,4.5555555555555625,0.09,0.0941,0.0941,0.088,4700011.0,0.0903,0.095,0.097,0.0825,9775286.0
2023-03-21,AULT,675.001,667.501,689.251,660.751,2.2727272727272747,0.088,0.0941,0.0941,0.087,4497630.0,0.09,0.0941,0.0941,0.088,4700011.0
2023-03-22,AULT,735.001,698.251,735.001,698.251,4.366347177848782,0.0939,0.09,0.097,0.0881,4299193.0,0.088,0.0941,0.0941,0.087,4497630.0
2023-03-23,AULT,684.001,701.251,717.751,677.251,0.21978021978022608,0.091,0.098,0.098,0.0902,3579448.0,0.0939,0.09,0.097,0.0881,4299193.0
2023-03-24,AULT,724.501,693.751,726.001,675.001,4.094827586206909,0.0928,0.0912,0.0957,0.0903,2437929.0,0.091,0.098,0.098,0.0902,3579448.0
2023-03-27,AULT,707.251,690.751,708.751,678.751,1.3978494623655868,0.093,0.0966,0.0968,0.09,1914483.0,0.0928,0.0912,0.0957,0.0903,2437929.0
