Date,Ticker,9:30 Price,10:30 Price,High Price,Low Price,Gap Percentage,previous_day_close,previous_day_open,previous_day_high,previous_day_low,previous_day_volume,two_days_ago_close,two_days_ago_open,two_days_ago_high,two_days_ago_low,two_days_ago_volume
2023-03-01,HSCS,1.4,1.43,1.44,1.38,2.9411764705882213,1.36,1.33,1.375,1.33,18089.0,1.33,1.38,1.4597,1.31,88078.0
2023-03-02,HSCS,1.4,1.37,1.4,1.36,0.7194244604316554,1.39,1.4,1.47,1.33,73952.0,1.36,1.33,1.375,1.33,18089.0
2023-03-03,HSCS,1.28,1.285,1.31,1.265,-2.2900763358778646,1.31,1.4,1.4,1.27,67709.0,1.39,1.4,1.47,1.33,73952.0
2023-03-06,HSCS,1.43,1.36,1.47,1.35,9.16030534351144,1.31,1.28,1.37,1.2654,37661.0,1.31,1.4,1.4,1.27,67709.0
2023-03-07,HSCS,1.32,1.31,1.35,1.3,-2.222222222222224,1.35,1.43,1.47,1.31,53297.0,1.31,1.28,1.37,1.2654,37661.0
2023-03-09,HSCS,1.305,1.27,1.33,1.27,1.162790697674411,1.29,1.2807,1.37,1.2807,19600.0,1.31,1.32,1.35,1.28,25440.0
2023-03-10,HSCS,1.24,1.29,1.294,1.23,-3.1250000000000027,1.28,1.305,1.3798,1.27,16240.0,1.29,1.2807,1.37,1.2807,19600.0
2023-03-13,HSCS,1.13,1.08,1.135,1.08,-2.5862068965517264,1.16,1.24,1.351,1.11,65069.0,1.28,1.305,1.3798,1.27,16240.0
2023-03-14,HSCS,1.116,1.208,1.248,1.116,1.490909090909088,1.1,1.13,1.1347,1.07,37496.0,1.16,1.24,1.351,1.11,65069.0
2023-03-15,HSCS,1.08,1.08,1.08,1.06,-6.086956521739117,1.15,1.1164,1.25,1.1164,49713.0,1.1,1.13,1.1347,1.07,37496.0
2023-03-16,HSCS,1.101,1.07,1.101,1.06,0.09090909090908089,1.1,1.08,1.14,1.06,53472.0,1.15,1.1164,1.25,1.1164,49713.0
2023-03-17,HSCS,1.15,1.09,1.15,1.061,13.861386138613852,1.01,1.101,1.101,0.9845,75006.0,1.1,1.08,1.14,1.06,53472.0
2023-03-20,HSCS,1.16,1.07,1.16,1.06,4.504504504504489,1.11,1.15,1.16,1.06,41945.0,1.01,1.101,1.101,0.9845,75006.0
2023-03-21,HSCS,1.02,1.04,1.1,1.01,5.154639175257737,0.97,1.16,1.16,0.9621,169826.0,1.11,1.15,1.16,1.06,41945.0
2023-03-22,HSCS,1.08,1.08,1.129,1.04,3.3789604671197577,1.0447,1.02,1.1,1.01,59348.0,0.97,1.16,1.16,0.9621,169826.0
2023-03-23,HSCS,1.01,1.01,1.049,1.0,-2.8846153846153872,1.04,1.08,1.129,1.01,68912.0,1.0447,1.02,1.1,1.01,59348.0
2023-03-24,HSCS,1.03,1.0,1.06,1.0,0.7334963325183435,1.0225,1.01,1.0489,0.96,33734.0,1.04,1.08,1.129,1.01,68912.0
2023-03-27,HSCS,1.11,1.05,1.11,1.02,13.265306122448992,0.98,1.03,1.06,0.97,21079.0,1.0225,1.01,1.0489,0.96,33734.0
2023-03-28,HSCS,1.0,1.03,1.06,1.0,-1.960784313725492,1.02,1.11,1.11,1.01,24606.0,0.98,1.03,1.06,0.97,21079.0
2023-03-29,HSCS,1.012,1.003,1.016,0.98,-1.796116504854365,1.03,1.0,1.1,1.0,21522.0,1.02,1.11,1.11,1.01,24606.0
2023-03-30,HSCS,0.987,0.995,1.02,0.98,-1.2900000000000023,1.0,1.0115,1.02,0.98,54737.0,1.03,1.0,1.1,1.0,21522.0
2023-03-31,HSCS,1.01,0.97,1.01,0.97,2.53807106598985,0.985,0.9871,1.08,0.97,57002.0,1.0,1.0115,1.02,0.98,54737.0
