Date,Ticker,9:30 Price,10:30 Price,High Price,Low Price,Gap Percentage,previous_day_close,previous_day_open,previous_day_high,previous_day_low,previous_day_volume,two_days_ago_close,two_days_ago_open,two_days_ago_high,two_days_ago_low,two_days_ago_volume
2023-03-01,LTRN,5.39,5.36,5.39,5.36,-1.8197052769631485,5.4899,5.21,5.5654,5.1801,32301.0,5.3,5.21,5.34,5.11,6045.0
2023-03-02,LTRN,5.52,5.36,5.52,5.13,2.793296089385465,5.37,5.39,5.62,5.31,20182.0,5.4899,5.21,5.5654,5.1801,32301.0
2023-03-03,LTRN,5.27,5.49,5.49,5.27,-2.2263450834879426,5.39,5.52,5.52,5.13,26041.0,5.37,5.39,5.62,5.31,20182.0
2023-03-06,LTRN,5.55,5.55,5.581,5.51,0.18050541516245103,5.54,5.27,5.66,5.27,25044.0,5.39,5.52,5.52,5.13,26041.0
2023-03-07,LTRN,5.28,5.19,5.3,5.18,-0.3773584905660297,5.3,5.55,5.5811,5.3,26061.0,5.54,5.27,5.66,5.27,25044.0
2023-03-08,LTRN,5.25,5.4,5.4,5.25,-0.37950664136621587,5.27,5.28,5.4676,5.18,15494.0,5.3,5.55,5.5811,5.3,26061.0
2023-03-09,LTRN,5.0,5.0,5.1,5.0,-0.7936507936507943,5.04,5.25,5.3999,5.0,11552.0,5.27,5.28,5.4676,5.18,15494.0
2023-03-10,LTRN,4.83,4.6,4.83,4.57,-2.4242424242424265,4.95,5.0,5.1,4.53,29719.0,5.04,5.25,5.3999,5.0,11552.0
2023-03-13,LTRN,4.49,4.55,4.692,4.35,4.421033047280173,4.2999,4.83,4.83,4.05,125455.0,4.95,5.0,5.1,4.53,29719.0
2023-03-14,LTRN,4.94,4.67,4.94,4.66,5.106382978723409,4.7,4.49,4.89,4.35,80650.0,4.2999,4.83,4.83,4.05,125455.0
2023-03-15,LTRN,4.52,4.53,4.8,4.5,-0.6593406593406648,4.55,4.94,4.94,4.5277,20285.0,4.7,4.49,4.89,4.35,80650.0
2023-03-16,LTRN,4.73,4.775,4.779,4.73,2.159827213822906,4.63,4.52,4.8,4.5,47628.0,4.55,4.94,4.94,4.5277,20285.0
2023-03-17,LTRN,4.8,4.65,4.8,4.65,-2.4390243902439046,4.92,4.73,4.95,4.7004,43842.0,4.63,4.52,4.8,4.5,47628.0
2023-03-20,LTRN,4.66,4.621,4.81,4.62,-1.8947368421052602,4.75,4.8,4.8,4.6,28683.0,4.92,4.73,4.95,4.7004,43842.0
2023-03-21,LTRN,4.87,4.55,4.919,4.55,4.731182795698919,4.65,4.66,4.8099,4.51,47002.0,4.75,4.8,4.8,4.6,28683.0
2023-03-22,LTRN,4.41,4.42,4.691,4.41,0.2272727272727224,4.4,4.87,4.9187,4.36,41315.0,4.65,4.66,4.8099,4.51,47002.0
2023-03-23,LTRN,4.44,4.505,4.505,4.44,2.540415704387998,4.33,4.41,4.6906,4.325,46576.0,4.4,4.87,4.9187,4.36,41315.0
2023-03-24,LTRN,4.4,4.4,4.41,4.4,-1.785714285714287,4.48,4.44,4.58,4.4,23996.0,4.33,4.41,4.6906,4.325,46576.0
2023-03-27,LTRN,4.55,4.555,4.555,4.55,0.7751937984496156,4.515,4.4,4.5572,4.4,12869.0,4.48,4.44,4.58,4.4,23996.0
2023-03-28,LTRN,4.65,4.54,4.65,4.523,1.5283842794759888,4.58,4.55,4.6499,4.55,9652.0,4.515,4.4,4.5572,4.4,12869.0
2023-03-29,LTRN,4.712,4.8,4.905,4.645,3.3442982456140515,4.56,4.65,4.65,4.523,11815.0,4.58,4.55,4.6499,4.55,9652.0
2023-03-30,LTRN,4.75,4.77,4.77,4.68,2.8138528138528116,4.62,4.7125,4.905,4.6,48803.0,4.56,4.65,4.65,4.523,11815.0
2023-03-31,LTRN,4.7,4.7,4.715,4.7,0.6423982869379069,4.67,4.75,4.77,4.64,6835.0,4.62,4.7125,4.905,4.6,48803.0
2023-04-03,LTRN,4.85,5.0,5.0,4.85,0.41407867494823136,4.83,4.7,4.84,4.685,20171.0,4.67,4.75,4.77,4.64,6835.0
2023-04-04,LTRN,5.11,5.071,5.2,5.071,0.9881422924901326,5.06,4.85,5.1399,4.85,9380.0,4.83,4.7,4.84,4.685,20171.0
2023-04-05,LTRN,4.93,4.99,4.99,4.82,-0.8048289738430591,4.97,5.11,5.2,4.8101,11821.0,5.06,4.85,5.1399,4.85,9380.0
2023-04-06,LTRN,4.821,4.83,4.86,4.821,-2.4190283400809793,4.94,4.93,4.99,4.81,19846.0,4.97,5.11,5.2,4.8101,11821.0
2023-04-10,LTRN,5.01,5.0,5.01,5.0,-2.148437500000006,5.12,4.8205,5.12,4.8205,16793.0,4.94,4.93,4.99,4.81,19846.0
2023-04-11,LTRN,4.94,5.0,5.0,4.94,1.437371663244359,4.87,5.01,5.22,4.87,4786.0,5.12,4.8205,5.12,4.8205,16793.0
2023-04-12,LTRN,5.18,5.016,5.18,5.016,2.5742574257425725,5.05,4.94,5.24,4.8821,9090.0,4.87,5.01,5.22,4.87,4786.0
2023-04-14,LTRN,5.09,5.119,5.119,5.05,0.7920792079207928,5.05,5.02,5.1364,5.016,25833.0,5.02,5.18,5.18,5.0,8623.0
2023-04-17,LTRN,5.08,4.907,5.24,4.907,0.9940357852882667,5.03,5.09,5.13,4.91,23133.0,5.05,5.02,5.1364,5.016,25833.0
2023-04-19,LTRN,4.999,4.985,5.0,4.93,-0.02000000000000668,5.0,5.0799,5.0999,4.97,20331.0,5.0,5.08,5.24,4.9074,18683.0
2023-04-20,LTRN,5.0,5.04,5.04,5.0,0.0,5.0,4.999,5.0899,4.93,19492.0,5.0,5.0799,5.0999,4.97,20331.0
2023-04-21,LTRN,4.88,4.959,4.967,4.86,-0.6109979633401272,4.91,5.0,5.09,4.91,11257.0,5.0,4.999,5.0899,4.93,19492.0
2023-04-24,LTRN,4.91,4.897,4.98,4.82,0.6147540983606609,4.88,4.88,4.97,4.85,32521.0,4.91,5.0,5.09,4.91,11257.0
2023-04-25,LTRN,4.6,4.61,4.62,4.51,-0.8620689655172422,4.64,4.91,4.9799,4.6,27277.0,4.88,4.88,4.97,4.85,32521.0
2023-04-26,LTRN,4.625,4.5,4.655,4.5,1.4254385964912368,4.56,4.6,4.7,4.51,20829.0,4.64,4.91,4.9799,4.6,27277.0
2023-04-27,LTRN,4.53,4.566,4.566,4.53,-0.8752735229759306,4.57,4.625,4.6552,4.48,10970.0,4.56,4.6,4.7,4.51,20829.0
2023-04-28,LTRN,4.78,4.822,4.87,4.75,0.2096436058700351,4.77,4.53,4.79,4.53,6476.0,4.57,4.625,4.6552,4.48,10970.0
2023-05-01,LTRN,4.9,4.856,4.98,4.856,0.0,4.9,4.78,4.9,4.75,10010.0,4.77,4.53,4.79,4.53,6476.0
2023-05-02,LTRN,5.035,4.959,5.052,4.959,1.5120967741935518,4.96,4.9,5.09,4.77,19446.0,4.9,4.78,4.9,4.75,10010.0
2023-05-03,LTRN,4.96,4.765,4.96,4.71,0.0,4.96,5.035,5.0519,4.769,10838.0,4.96,4.9,5.09,4.77,19446.0
2023-05-04,LTRN,4.59,4.95,4.95,4.59,-1.5021459227467873,4.66,4.96,4.96,4.66,19496.0,4.96,5.035,5.0519,4.769,10838.0
2023-05-05,LTRN,5.1,5.105,5.2,5.0,1.9999999999999927,5.0,4.59,5.0971,4.59,26449.0,4.66,4.96,4.96,4.66,19496.0
2023-05-08,LTRN,5.1,5.23,5.246,5.1,1.7964071856287396,5.01,5.1,5.28,4.97,31222.0,5.0,4.59,5.0971,4.59,26449.0
2023-05-09,LTRN,5.31,5.38,5.38,5.3,0.18867924528301486,5.3,5.1,5.3,5.04,21982.0,5.01,5.1,5.28,4.97,31222.0
2023-05-10,LTRN,5.6,5.582,5.6,5.51,0.0,5.6,5.31,5.6,5.3,22130.0,5.3,5.1,5.3,5.04,21982.0
2023-05-11,LTRN,5.64,5.47,5.64,5.36,1.2567324955116588,5.57,5.6,5.6,5.4501,20450.0,5.6,5.31,5.6,5.3,22130.0
2023-05-12,LTRN,5.48,5.4,5.48,5.4,1.6697588126159693,5.39,5.64,5.64,5.36,10918.0,5.57,5.6,5.6,5.4501,20450.0
2023-05-15,LTRN,5.29,5.248,5.29,5.21,0.9541984732824393,5.24,5.48,5.48,5.24,5424.0,5.39,5.64,5.64,5.36,10918.0
2023-05-16,LTRN,5.36,5.29,5.36,5.29,1.1320754716981227,5.3,5.29,5.3,5.2001,5993.0,5.24,5.48,5.48,5.24,5424.0
2023-05-17,LTRN,4.85,4.86,4.86,4.63,2.1052631578947296,4.75,5.36,5.41,4.75,65479.0,5.3,5.29,5.3,5.2001,5993.0
2023-05-18,LTRN,4.87,4.872,4.965,4.87,-0.6122448979591887,4.9,4.85,4.981,4.63,16400.0,4.75,5.36,5.41,4.75,65479.0
2023-05-19,LTRN,4.76,4.91,4.91,4.7,1.2765957446808427,4.7,4.87,4.965,4.6101,35337.0,4.9,4.85,4.981,4.63,16400.0
2023-05-22,LTRN,5.02,5.08,5.08,5.02,0.39999999999999153,5.0,4.76,5.1062,4.7,53898.0,4.7,4.87,4.965,4.6101,35337.0
2023-05-23,LTRN,5.27,5.145,5.44,5.145,2.3300970873786255,5.15,5.02,5.5001,5.02,124548.0,5.0,4.76,5.1062,4.7,53898.0
2023-05-24,LTRN,5.25,5.23,5.25,5.086,2.9411764705882426,5.1,5.27,5.44,5.1,67497.0,5.15,5.02,5.5001,5.02,124548.0
2023-05-25,LTRN,5.02,5.0,5.21,5.0,-2.5242718446602095,5.15,5.25,5.25,5.0001,7643.0,5.1,5.27,5.44,5.1,67497.0
2023-05-26,LTRN,5.1,4.9,5.33,4.9,7.594936708860748,4.74,5.02,5.21,4.74,20670.0,5.15,5.25,5.25,5.0001,7643.0
2023-05-30,LTRN,4.85,5.06,5.06,4.85,0.20661157024792948,4.84,5.1,5.3299,4.75,43111.0,4.74,5.02,5.21,4.74,20670.0
2023-05-31,LTRN,5.53,5.475,5.53,5.32,1.0968921389396802,5.47,4.85,5.5,4.85,46591.0,4.84,5.1,5.3299,4.75,43111.0
2023-06-01,LTRN,5.22,5.22,5.22,5.22,0.19193857965450647,5.21,5.53,5.53,5.1019,36517.0,5.47,4.85,5.5,4.85,46591.0
