Date,Ticker,9:30 Price,10:30 Price,High Price,Low Price,Gap Percentage,previous_day_close,previous_day_open,previous_day_high,previous_day_low,previous_day_volume,two_days_ago_close,two_days_ago_open,two_days_ago_high,two_days_ago_low,two_days_ago_volume
2023-03-01,OCEA,7.75,6.93,7.813,6.69,-3.125,8.0,9.11,9.45,7.75,1040182.0,9.34,9.09,11.61,8.64,2980215.0
2023-03-02,OCEA,6.26,6.13,6.44,5.96,-5.295007564296529,6.61,7.75,7.8128,5.85,649627.0,8.0,9.11,9.45,7.75,1040182.0
2023-03-03,OCEA,6.2,6.11,6.8,6.0,-0.9584664536741151,6.26,6.26,6.5999,5.82,227768.0,6.61,7.75,7.8128,5.85,649627.0
2023-03-06,OCEA,6.34,6.25,6.41,6.12,-2.009273570324573,6.47,6.2,6.89,5.89,382093.0,6.26,6.26,6.5999,5.82,227768.0
2023-03-07,OCEA,5.51,5.33,5.7,5.27,0.18181818181817794,5.5,6.34,6.41,5.3,340308.0,6.47,6.2,6.89,5.89,382093.0
2023-03-08,OCEA,5.06,4.75,5.19,4.58,-0.7843137254901967,5.1,5.51,5.7,5.01,119783.0,5.5,6.34,6.41,5.3,340308.0
2023-03-09,OCEA,9.1,7.63,9.77,7.24,94.02985074626862,4.69,5.06,5.19,4.4101,206866.0,5.1,5.51,5.7,5.01,119783.0
2023-03-10,OCEA,8.5,9.72,9.926,8.5,-19.50757575757576,10.56,9.1,11.2,7.24,60246881.0,4.69,5.06,5.19,4.4101,206866.0
2023-03-13,OCEA,8.06,9.07,9.37,7.555,0.7500000000000062,8.0,8.5,9.926,7.35,6343902.0,10.56,9.1,11.2,7.24,60246881.0
2023-03-14,OCEA,8.09,7.71,8.16,7.35,-3.4606205250596767,8.38,8.06,9.37,7.555,2531200.0,8.0,8.5,9.926,7.35,6343902.0
2023-03-15,OCEA,7.37,6.322,7.37,6.28,-0.5398110661268561,7.41,8.09,8.16,7.0348,646803.0,8.38,8.06,9.37,7.555,2531200.0
2023-03-16,OCEA,6.24,6.51,6.801,6.22,-5.3110773899848205,6.59,7.37,7.37,6.19,399957.0,7.41,8.09,8.16,7.0348,646803.0
2023-03-17,OCEA,6.8,6.893,7.183,6.71,-3.1339031339031305,7.02,6.24,7.4,6.22,293298.0,6.59,7.37,7.37,6.19,399957.0
2023-03-20,OCEA,6.76,7.125,7.184,6.76,-5.718270571827059,7.17,6.8,7.2,6.52,370184.0,7.02,6.24,7.4,6.22,293298.0
2023-03-21,OCEA,7.07,6.917,7.47,6.9,-0.7022471910112335,7.12,6.76,7.8985,6.76,523037.0,7.17,6.8,7.2,6.52,370184.0
2023-03-22,OCEA,7.22,7.19,7.35,7.129,-2.0352781546811447,7.37,7.07,7.47,6.89,228251.0,7.12,6.76,7.8985,6.76,523037.0
2023-03-23,OCEA,7.15,7.655,7.8,6.99,-0.13966480446927076,7.16,7.22,7.51,7.0,84767.0,7.37,7.07,7.47,6.89,228251.0
2023-03-24,OCEA,7.4,7.244,7.4,7.18,-1.9867549668874103,7.55,7.15,7.8,6.99,267950.0,7.16,7.22,7.51,7.0,84767.0
2023-03-27,OCEA,7.21,7.073,7.21,7.0,0.0,7.21,7.4,7.5,7.08,52263.0,7.55,7.15,7.8,6.99,267950.0
2023-03-28,OCEA,7.03,7.046,7.05,6.83,0.0,7.03,7.21,7.21,7.0,51872.0,7.21,7.4,7.5,7.08,52263.0
