Date,Ticker,9:30 Price,10:30 Price,High Price,Low Price,Gap Percentage,previous_day_close,previous_day_open,previous_day_high,previous_day_low,previous_day_volume,two_days_ago_close,two_days_ago_open,two_days_ago_high,two_days_ago_low,two_days_ago_volume
2023-04-03,OMH,4.52,3.94,5.09,3.8,5.85480093676815,4.27,4.23,4.3405,4.22,39876.0,4.215,4.3813,4.39,4.2,71990.0
2023-04-04,OMH,4.09,4.14,4.17,4.0,0.7389162561576417,4.06,4.52,5.09,3.8,440958.0,4.27,4.23,4.3405,4.22,39876.0
2023-04-05,OMH,4.085,4.12,4.15,4.017,-0.8495145631067995,4.12,4.09,4.2,4.0,122224.0,4.06,4.52,5.09,3.8,440958.0
2023-04-06,OMH,4.041,4.041,4.041,4.041,-1.6763990267639945,4.11,4.085,4.15,4.0173,96540.0,4.12,4.09,4.2,4.0,122224.0
2023-04-10,OMH,4.24,4.456,4.71,4.24,-2.30414746543778,4.34,4.0411,4.36,4.0411,67208.0,4.11,4.085,4.15,4.0173,96540.0
2023-04-11,OMH,4.51,4.46,4.6,4.422,2.036199095022621,4.42,4.24,4.71,4.24,686927.0,4.34,4.0411,4.36,4.0411,67208.0
2023-04-12,OMH,4.88,4.93,6.17,4.84,0.20533880903490323,4.87,4.51,4.9,4.422,185659.0,4.42,4.24,4.71,4.24,686927.0
2023-04-13,OMH,4.61,4.62,4.96,4.61,-2.123142250530778,4.71,4.88,6.17,4.62,462220.0,4.87,4.51,4.9,4.422,185659.0
2023-04-14,OMH,4.6,4.765,4.8,4.6,-0.4329004329004429,4.62,4.61,4.96,4.5,182317.0,4.71,4.88,6.17,4.62,462220.0
2023-04-17,OMH,5.9,5.0,6.34,4.63,16.29740597650399,5.0732,4.6,5.4,4.6,689034.0,4.62,4.61,4.96,4.5,182317.0
2023-04-18,OMH,5.08,5.02,5.12,4.86,2.4193548387096793,4.96,5.9,6.34,4.63,210277.0,5.0732,4.6,5.4,4.6,689034.0
2023-04-19,OMH,4.75,5.358,5.45,4.75,-2.663934426229506,4.88,5.08,5.12,4.86,23305.0,4.96,5.9,6.34,4.63,210277.0
2023-04-20,OMH,5.55,5.13,5.55,5.0,-0.981266726137388,5.605,4.75,5.7599,4.75,323118.0,4.88,5.08,5.12,4.86,23305.0
2023-04-21,OMH,5.1,5.2,5.3,5.1,0.5917159763313483,5.07,5.55,5.55,5.0,235638.0,5.605,4.75,5.7599,4.75,323118.0
2023-04-24,OMH,5.45,5.2,5.45,5.2,5.618108176198141,5.1601,5.1,5.3175,5.1,15146.0,5.07,5.55,5.55,5.0,235638.0
2023-04-25,OMH,5.61,5.69,5.72,5.61,-0.0837088357347624,5.6147,5.45,5.8,5.18,60840.0,5.1601,5.1,5.3175,5.1,15146.0
2023-04-26,OMH,6.76,6.5,6.8,6.272,1.046337817638257,6.69,5.61,6.9188,5.61,165914.0,5.6147,5.45,5.8,5.18,60840.0
2023-04-27,OMH,7.69,6.95,7.69,6.824,2.5333333333333385,7.5,6.76,7.799,6.272,155449.0,6.69,5.61,6.9188,5.61,165914.0
2023-04-28,OMH,6.8,6.75,6.85,6.735,-1.1627906976744196,6.88,7.69,7.69,6.8,201287.0,7.5,6.76,7.799,6.272,155449.0
2023-05-01,OMH,6.76,5.858,7.04,5.631,-2.028985507246385,6.9,6.8,7.09,6.735,18986.0,6.88,7.69,7.69,6.8,201287.0
2023-05-02,OMH,6.0,6.0,6.1,6.0,0.3344481605351099,5.98,6.76,7.04,5.6309,198791.0,6.9,6.8,7.09,6.735,18986.0
2023-05-03,OMH,5.76,5.6,5.87,5.48,-1.7064846416382344,5.86,6.0,6.1,5.85,20404.0,5.98,6.76,7.04,5.6309,198791.0
2023-05-04,OMH,5.7,5.6,5.7,5.15,-2.564102564102555,5.85,5.76,6.095,5.48,61879.0,5.86,6.0,6.1,5.85,20404.0
2023-05-05,OMH,5.649,5.7,5.77,5.6,0.8678571428571504,5.6,5.7,5.81,5.15,53600.0,5.85,5.76,6.095,5.48,61879.0
2023-05-08,OMH,6.31,6.6,6.74,6.31,1.7889693665209465,6.1991,5.6486,6.1991,5.6,30298.0,5.6,5.7,5.81,5.15,53600.0
2023-05-09,OMH,17.39,10.93,18.7,10.05,-33.06389530408006,25.98,6.31,27.13,6.31,866358.0,6.1991,5.6486,6.1991,5.6,30298.0
2023-05-10,OMH,11.45,10.62,11.74,10.4,-8.546325878594253,12.52,17.39,18.7,9.8,2351702.0,25.98,6.31,27.13,6.31,866358.0
2023-05-11,OMH,12.57,12.81,13.07,11.31,-5.126347251154785,13.2492,11.45,16.0,10.0006,1426480.0,12.52,17.39,18.7,9.8,2351702.0
2023-05-12,OMH,13.8,15.31,16.9,12.5,-4.893177119228112,14.51,12.57,14.88,11.31,517329.0,13.2492,11.45,16.0,10.0006,1426480.0
2023-05-15,OMH,22.82,17.05,26.5,13.32,23.618634886240518,18.46,13.8,20.5,12.5,1332269.0,14.51,12.57,14.88,11.31,517329.0
2023-05-16,OMH,31.7,17.28,32.0,16.5,3.108808290155443,30.88,22.82,57.0,13.32,7828738.0,18.46,13.8,20.5,12.5,1332269.0
2023-05-17,OMH,7.07,7.035,7.604,6.272,11.49606299212599,6.35,31.84,32.0,5.53,12232550.0,30.88,22.82,57.0,13.32,7828738.0
2023-05-18,OMH,6.08,5.62,6.13,5.6,-3.0303030303030223,6.27,7.08,7.6044,5.6101,6994192.0,6.35,31.84,32.0,5.53,12232550.0
2023-05-19,OMH,5.39,5.13,5.44,5.06,-1.4625228519195625,5.47,6.08,6.13,5.281,1984338.0,6.27,7.08,7.6044,5.6101,6994192.0
2023-05-22,OMH,4.9,6.11,6.24,4.86,-3.9215686274509665,5.1,5.39,5.4399,4.8201,1335962.0,5.47,6.08,6.13,5.281,1984338.0
2023-05-23,OMH,5.31,5.01,5.57,5.0,2.1153846153846043,5.2,4.9,7.14,4.86,9927789.0,5.1,5.39,5.4399,4.8201,1335962.0
2023-05-24,OMH,4.95,4.74,5.13,4.58,-1.3944223107569602,5.02,5.31,5.5699,4.95,2245119.0,5.2,4.9,7.14,4.86,9927789.0
2023-05-25,OMH,4.64,4.56,4.763,4.44,-2.521008403361347,4.76,4.95,5.13,4.55,902384.0,5.02,5.31,5.5699,4.95,2245119.0
2023-05-26,OMH,4.48,4.814,4.97,4.33,1.3574660633484277,4.42,4.64,4.7628,4.17,750961.0,4.76,4.95,5.13,4.55,902384.0
2023-05-30,OMH,4.5,4.39,4.68,4.34,-5.06329113924051,4.74,4.48,5.07,4.3303,1346184.0,4.42,4.64,4.7628,4.17,750961.0
2023-05-31,OMH,4.35,4.341,4.49,4.27,0.6944444444444295,4.32,4.5,4.6799,4.3101,507644.0,4.74,4.48,5.07,4.3303,1346184.0
2023-06-01,OMH,4.43,4.32,4.471,4.3,-0.4494382022472014,4.45,4.35,4.49,4.27,375138.0,4.32,4.5,4.6799,4.3101,507644.0
2023-06-02,OMH,4.63,4.525,4.73,4.46,0.6521739130434837,4.6,4.43,4.84,4.3,888991.0,4.45,4.35,4.49,4.27,375138.0
2023-06-05,OMH,4.36,4.3,4.51,4.3,0.0,4.36,4.63,4.7299,4.32,418060.0,4.6,4.43,4.84,4.3,888991.0
2023-06-06,OMH,4.34,4.501,4.8,4.17,0.0,4.34,4.36,4.51,4.25,322630.0,4.36,4.63,4.7299,4.32,418060.0
2023-06-07,OMH,4.59,4.57,4.78,4.49,-2.5477707006369448,4.71,4.34,4.8,4.17,934625.0,4.34,4.36,4.51,4.25,322630.0
2023-06-08,OMH,4.52,4.525,4.625,4.47,-1.9522776572668272,4.61,4.59,4.7799,4.41,278353.0,4.71,4.34,4.8,4.17,934625.0
2023-06-09,OMH,4.45,4.461,4.56,4.44,-1.9823788546255476,4.54,4.52,4.625,4.45,197100.0,4.61,4.59,4.7799,4.41,278353.0
2023-06-12,OMH,4.56,4.53,4.56,4.42,1.7857142857142672,4.48,4.45,4.56,4.35,129674.0,4.54,4.52,4.625,4.45,197100.0
2023-06-13,OMH,5.26,5.11,5.38,5.05,-4.363636363636368,5.5,4.56,5.618,4.42,1759932.0,4.48,4.45,4.56,4.35,129674.0
2023-06-14,OMH,4.92,4.83,5.51,4.82,1.0266940451745343,4.87,5.26,5.38,4.712,825077.0,5.5,4.56,5.618,4.42,1759932.0
2023-06-15,OMH,4.38,4.37,4.42,4.33,0.0,4.38,4.92,5.51,4.24,1972027.0,4.87,5.26,5.38,4.712,825077.0
2023-06-16,OMH,4.31,4.29,4.45,4.29,-1.1467889908257043,4.36,4.38,4.46,4.27,300330.0,4.38,4.92,5.51,4.24,1972027.0
2023-06-20,OMH,4.4,4.4,4.49,4.36,-1.785714285714287,4.48,4.31,4.63,4.29,553355.0,4.36,4.38,4.46,4.27,300330.0
2023-06-21,OMH,4.4,4.348,4.41,4.28,-2.2222222222222143,4.5,4.4,4.5,4.26,182914.0,4.48,4.31,4.63,4.29,553355.0
2023-06-22,OMH,4.52,4.435,4.52,4.34,-1.7391304347826104,4.6,4.4,4.6,4.28,181990.0,4.5,4.4,4.5,4.26,182914.0
2023-06-23,OMH,4.46,4.47,4.5,4.405,-1.7621145374449354,4.54,4.52,4.56,4.34,186925.0,4.6,4.4,4.6,4.28,181990.0
2023-06-26,OMH,4.3,4.33,4.36,4.29,-1.8264840182648419,4.38,4.46,4.5,4.27,111545.0,4.54,4.52,4.56,4.34,186925.0
2023-06-27,OMH,4.11,4.142,4.18,4.11,-1.9093078758949895,4.19,4.3,4.3599,4.18,135959.0,4.38,4.46,4.5,4.27,111545.0
2023-06-28,OMH,3.98,4.01,4.07,3.9,0.0,3.98,4.11,4.18,3.87,235398.0,4.19,4.3,4.3599,4.18,135959.0
2023-06-29,OMH,3.95,3.95,4.0,3.91,1.282051282051289,3.9,3.98,4.0874,3.9,131891.0,3.98,4.11,4.18,3.87,235398.0
2023-06-30,OMH,3.93,3.95,4.017,3.93,0.7692307692307756,3.9,3.95,4.0681,3.9,198926.0,3.9,3.98,4.0874,3.9,131891.0
2023-07-03,OMH,3.84,3.8,3.92,3.75,-1.5384615384615399,3.9,3.93,4.017,3.87,122153.0,3.9,3.95,4.0681,3.9,198926.0
2023-07-05,OMH,3.8,3.774,3.84,3.76,-1.0416666666666676,3.84,3.84,3.92,3.75,143619.0,3.9,3.93,4.017,3.87,122153.0
2023-07-06,OMH,3.71,3.65,3.83,3.6,-2.368421052631575,3.8,3.8,3.87,3.76,107474.0,3.84,3.84,3.92,3.75,143619.0
